,age,gender,COB,hours_work,social_media_use,rent,friends_count,stress_level,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_usea,drug_useb,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest _1,mark_goal,hours_studying,lecture_mode,study_type,learner_style
111,21.0,Male,China,0.0,6.0,700.0,5.0,7.0,140.0,Single,0.0,0.0,12.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,10.0,8.0,80.0,5.0,Recording,I work steadily all semester,Style 3
112,22.0,Non-binary / third gender,Australia,26.0,2.0,0.0,5.0,5.0,120.0,Its complicated,6.0,15.0,8.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,9.0,30.0,5.0,80.0,2.0,Live Stream from Lecture Theatre,I leave things to the last minute,Style 2
113,18.0,Female,Australia,0.0,3.0,0.0,10.0,2.0,120.0,Single,4.0,5.0,30.0,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,Domestic,DATA1001,1.0,20.0,7.0,85.0,4.0,I,It changes depending on the subject,Style 3
114,21.0,Male,China,0.0,0.16,740.0,0.0,3.0,120.0,Single,0.0,0.0,6.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,3.0,25.0,4.0,70.0,2.0,Recording,It changes depending on the subject,Style 2
115,18.0,Male,Australia,2.0,0.75,0.0,4.0,3.0,140.0,Single,1.0,45.0,10.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1.0,50.0,6.0,75.0,2.0,Recording,It changes depending on the subject,Style 3
116,18.0,Male,Taiwan,0.0,6.11,520.0,2.0,8.0,180.0,In a relationship,3.0,0.0,12.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0.0,18.0,3.0,70.0,10.0,I,I leave things to the last minute,Style 3
117,19.0,Female,Australia,10.0,4.0,0.0,50.0,3.0,160.0,In a relationship,20.0,10.0,10.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1.0,5.0,2.0,65.0,2.0,Recording,I work steadily all semester,Style 3
118,19.0,Female,China,2.0,10.3,550.0,5.0,5.0,140.0,Single,0.0,7.0,6.0,Have you ever used recreational drugs,No,,No,International,DATA1001,3.0,15.0,5.0,82.0,5.0,Recording,It changes depending on the subject,Style 2
119,25.0,Female,United Kingdom,0.0,1.25,100.0,1.0,5.0,160.0,Single,4.0,0.0,6.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,3.0,60.0,3.0,70.0,3.0,Other,It changes depending on the subject,Style 2
120,18.0,Female,China,0.0,2.0,575.0,3.0,2.0,120.0,Single,0.0,4.0,6.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1.0,15.0,6.0,85.0,4.0,I,I work steadily all semester,Style 1
121,18.0,Female,Australia,0.0,1.0,0.0,8.0,9.0,120.0,Single,0.0,1.0,6.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,50.0,3.0,75.0,2.0,Live Stream from Lecture Theatre,I leave things to the last minute,Style 3
122,19.0,Male,Mongolia,600.0,2.7,257.0,21.0,1.0,120.0,In a relationship,30.0,50.0,2.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,5.0,10.0,80.0,5.0,I,I work steadily all semester,Style 1
123,22.0,Male,China,20.0,3.0,850.0,20.0,7.0,120.0,Its complicated,100.0,8.0,3.0,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,International,DATA1001,0.0,20.0,8.0,99.0,3.0,Other,I leave things to the last minute,Style 2
124,21.0,Female,Australia,50.5,3.5,0.0,4.0,4.0,120.0,Its complicated,2.0,0.0,5.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,7.0,45.0,2.0,60.0,3.0,I,It changes depending on the subject,Style 2
125,19.0,Female,China,60.0,10.0,500.0,2.0,6.0,140.0,Single,0.0,0.0,2.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0.0,60.0,6.0,99.0,30.0,I,I work steadily all semester,Style 1
126,19.0,Female,USA,0.0,3.0,0.0,7.0,7.0,144.0,Single,2.0,7.0,4.0,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,International,DATA1001,2.0,5.0,2.0,65.0,3.0,Recording,I leave things to the last minute,Style 2
127,20.0,Male,Australia,14.0,0.45,0.0,0.0,4.0,140.0,In a relationship,80.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,3.0,30.0,4.0,100.0,10.0,Recording,It changes depending on the subject,Style 3
128,22.0,Male,China,30.0,1.0,500.0,1.0,8.0,120.0,Single,0.0,2.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,35.0,4.0,90.0,7.0,Lecture Slides,I leave things to the last minute,Style 3
129,18.0,Male,Vietnam,0.0,3.48,300.0,7.0,7.0,100.0,Single,0.0,2.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,40.0,7.0,85.0,15.0,I,It changes depending on the subject,Style 2
130,19.0,Female,USA,0.0,2.2,0.0,8.0,5.0,157.7,Its complicated,1.0,3.0,6.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,4.0,15.0,6.0,60.0,2.0,Lecture Slides,It changes depending on the subject,Style 3
131,18.0,Male,Australia,16.0,3.5,0.0,4.0,5.0,130.0,Single,1.0,5.0,2.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,60.0,1.0,85.0,3.0,Recording,I work steadily all semester,Style 3
132,19.0,Male,South Korea,0.0,5.0,480.0,10.0,2.0,120.0,Single,2.0,2.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1.0,20.0,0.0,85.0,10.0,Lecture Slides,I work steadily all semester,Style 2
133,23.0,Female,China,2.0,6.0,1500.0,10.0,8.0,60.0,Single,5.0,0.0,2.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,6.0,20.0,9.0,70.0,10.0,Recording,I leave things to the last minute,Style 3
134,19.0,Female,Mongolia,0.0,6.36,0.0,4.0,10.0,140.0,Single,1.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,2.0,20.0,7.0,80.0,5.0,I,I work steadily all semester,Style 2
135,20.0,Male,China,0.0,7.0,600.0,10.0,8.0,120.0,In a relationship,0.0,0.0,2.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.5,20.0,9.0,90.0,10.0,I,I work steadily all semester,Style 1
136,20.0,Female,China,10.0,6.0,0.0,15.0,6.0,60.0,Single,7.0,3.0,20.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,15.0,2.0,50.0,3.0,Recording,I work steadily all semester,Style 1
137,23.0,Female,Australia,0.0,4.0,0.0,3.0,1.0,120.0,In a relationship,20.0,0.0,7.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,3.0,86.0,6.0,85.0,6.0,Recording,I leave things to the last minute,Style 1
138,18.0,Male,Australia,0.0,6.4,0.0,4.0,2.0,110.0,Single,1.0,0.0,20.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0.0,50.0,5.0,100.0,0.0,I,I work steadily all semester,Style 3
139,19.0,Female,China,0.0,6.3,600.0,1.0,7.0,120.0,In a relationship,50.0,18.0,12.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,20.0,7.0,98.0,3.0,I,I work steadily all semester,Style 3
140,20.0,Male,China,0.0,1.21,629.0,0.0,8.0,160.0,Single,0.0,0.0,5.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,15.0,8.0,85.0,3.0,I,It changes depending on the subject,Style 1
141,19.0,Male,Australia,0.0,2.33,0.0,50.0,8.0,150.0,Single,0.0,0.0,10.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,90.0,6.0,95.0,3.0,Recording,I leave things to the last minute,Style 1
142,19.0,Non-binary / third gender,Australia,0.0,0.05,348.0,3.0,5.0,135.0,In a relationship,7.0,0.0,3.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,15.0,6.0,75.0,12.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
143,19.0,Female,Indonesia,0.0,8.1,725.0,2.0,7.0,100.0,Single,0.0,0.0,6.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1.0,40.0,7.0,75.0,5.0,I,It changes depending on the subject,Style 2
144,20.0,Female,Bangladesh ,0.0,5.65,285.0,4.0,7.0,140.0,In a relationship,12.0,0.0,6.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,20.0,7.0,80.0,14.0,Recording,I leave things to the last minute,Style 2
145,18.0,Male,South Korea,0.0,3.35,475.0,20.0,1.0,0.0,Single,10.0,15.0,30.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,20.0,4.0,75.0,4.0,Lecture Slides,It changes depending on the subject,Style 1
146,19.0,Female,Australia,3.0,6.0,0.0,10.0,6.0,120.0,In a relationship,40.0,0.0,4.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,4.0,90.0,5.0,75.0,3.0,Recording,It changes depending on the subject,Style 1
147,24.0,Male,Mongolia,20.0,1.0,210.0,5.0,8.0,150.0,Single,0.0,0.0,8.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,7.0,40.0,6.0,100.0,4.0,Recording,It changes depending on the subject,Style 3
148,19.0,Male,Australia,16.0,6.0,0.0,5.0,6.0,140.0,Single,2.0,0.0,12.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,0.0,90.0,3.0,80.0,10.0,I,It changes depending on the subject,Style 3
149,19.0,Female,Australia,26.0,2.5,0.0,10.0,6.0,110.0,Single,0.0,0.0,7.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,90.0,1.0,85.0,5.0,Recording,I work steadily all semester,Style 3
150,18.0,Female,India,35.0,2.0,0.0,5.0,7.0,130.0,Single,0.0,0.0,5.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,60.0,8.0,90.0,2.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
151,30.0,Male,Australia,38.0,3.0,0.0,0.0,2.0,120.0,Married,0.0,0.0,37.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,7.0,80.0,10.0,70.0,15.0,Recording,I work steadily all semester,Style 2
152,19.0,Female,Australia,15.0,4.6,130.0,15.0,2.0,140.0,Single,0.0,1.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,3.0,150.0,1.0,75.0,1.0,Lecture Slides,I leave things to the last minute,Style 3
153,18.0,Male,India,0.0,1.5,0.0,11.0,1.0,125.0,Single,1.0,1.0,1.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,45.0,7.0,95.0,0.0,Lecture Slides,It changes depending on the subject,Style 1
154,20.0,Male,USA,0.0,4.5,550.0,7.0,3.0,177.0,In a relationship,2.0,30.0,4.0,Have you ever used recreational drugs,No,,No,International,DATA1001,4.0,28.0,7.0,95.0,3.0,Recording,I leave things to the last minute,Style 3
155,21.0,Female,South Korea,0.0,4.8,773.5,2.0,7.0,80.0,Single,0.0,0.0,9.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,3.0,10.0,5.0,100.0,3.0,I,It changes depending on the subject,Style 3
156,19.0,Female,China,0.0,6.0,400.0,20.0,5.0,120.0,Single,2.0,3.0,2.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,6.0,5.0,90.0,3.0,I,I work steadily all semester,Style 1
157,18.0,Female,Australia,13.0,4.25,0.0,12.0,1.0,150.0,Single,0.0,0.0,9.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,75.0,3.0,85.0,1.0,Recording,It changes depending on the subject,Style 3
158,18.0,Female,Japan,7.0,4.0,450.0,8.0,10.0,100.0,Single,1.0,0.0,5.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,10.0,5.0,75.0,2.0,I,I leave things to the last minute,Style 3
159,18.0,Female,Indonesia,0.0,4.2,709.0,11.0,7.0,160.0,Single,0.0,0.0,10.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,10.0,3.0,80.0,4.0,Lecture Slides,It changes depending on the subject,Style 2
160,19.0,Female,Poland,0.0,4.0,490.0,5.0,7.0,220.0,Single,0.0,0.0,30.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,2.0,20.0,7.0,75.0,8.0,Recording,It changes depending on the subject,Style 1
161,18.0,Male,China,0.0,2.0,900.0,0.0,1.0,140.0,Single,0.0,0.0,14.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,15.0,7.0,100.0,2.0,Live Stream from Lecture Theatre,It changes depending on the subject,Style 2
162,18.0,Male,India,0.0,4.0,469.0,5.0,5.0,50.0,Single,0.0,0.0,2.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,20.0,7.0,85.0,10.0,I,It changes depending on the subject,Style 1
163,18.0,Female,Australia,30.0,3.0,0.0,3.0,7.0,130.0,Single,0.0,1.0,20.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,0.0,40.0,6.0,80.0,4.0,I,I leave things to the last minute,Style 2
164,19.0,Male,Australia,5.0,4.5,0.0,50.0,2.0,140.0,Single,2.0,26.0,5.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1.0,8.0,7.0,74.0,4.0,Recording,It changes depending on the subject,Style 1
165,19.0,Male,China,0.0,6.0,480.0,0.0,7.0,150.0,Single,0.0,0.0,3.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,40.0,4.0,80.0,5.0,I,It changes depending on the subject,Style 2
166,18.0,Female,Australia,11.5,2.0,0.0,15.0,7.0,130.0,Single,4.0,0.0,6.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,50.0,8.0,85.0,2.0,I,It changes depending on the subject,Style 3
167,18.0,Male,Australia,12.0,4.0,0.0,20.0,5.0,120.0,In a relationship,1.0,17.0,3.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1.0,60.0,6.0,75.0,4.0,I,I leave things to the last minute,Style 1
168,21.0,Male,Sri Lanka,9.0,7.0,387.0,1.0,9.0,180.0,Single,7.0,4.0,4.0,Have you ever used recreational drugs,No,,No,International,DATA1001,4.0,9.0,1.0,80.0,15.0,I,It changes depending on the subject,Style 3
169,18.0,Male,Malaysia,0.0,3.9,300.0,4.0,5.0,150.0,Single,0.0,0.0,7.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,0.0,60.0,4.0,80.0,1.0,I,It changes depending on the subject,Style 2
170,19.0,Male,Hong Kong SAR,0.0,3.5,463.0,10.0,4.0,110.0,Its complicated,1.0,0.0,21.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,2.0,25.0,6.0,75.0,3.0,I,It changes depending on the subject,Style 1
171,19.0,Male,Australia,9.0,2.25,0.0,100.0,2.0,130.0,Its complicated,3.0,20.0,6.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1.0,20.0,7.0,85.0,5.0,Recording,It changes depending on the subject,Style 3
172,21.0,Female,Thailand ,0.0,4.0,800.0,2.0,7.0,90.0,Single,0.0,0.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,5.0,15.0,8.0,90.0,7.0,Recording,It changes depending on the subject,Style 1
173,19.0,Male,China,25.0,5.44,829.0,11.0,4.0,135.0,Single,0.0,5.0,6.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,20.0,7.0,80.0,4.0,I,It changes depending on the subject,Style 1
174,18.0,Female,Australia,24.0,2.0,0.0,15.0,0.0,120.0,Single,0.0,4.0,13.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,50.0,2.0,65.0,5.0,Recording,It changes depending on the subject,Style 2
175,18.0,Female,Australia,12.0,3.3,0.0,5.0,6.0,120.0,In a relationship,5.0,4.0,5.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,50.0,6.0,75.0,6.0,I,It changes depending on the subject,Style 1
176,18.0,Non-binary / third gender,Australia,0.0,5.75,0.0,7.0,7.0,110.0,Single,0.0,0.0,4.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,90.0,5.0,90.0,3.0,Live Stream from Lecture Theatre,I leave things to the last minute,Style 2
177,20.0,Female,Australia,8.5,2.0,0.0,8.0,10.0,110.0,Single,2.0,0.0,5.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,5.0,60.0,3.0,85.0,5.0,Live Stream from Lecture Theatre,I work steadily all semester,Style 2
178,19.0,Male,UAE,0.0,9.3,1040.0,13.0,2.0,200.0,Single,0.0,0.0,5.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,60.0,6.0,3.0,7.0,Recording,I leave things to the last minute,Style 2
179,18.0,Female,Australia,10.0,8.09,0.0,8.0,10.0,110.0,Single,0.0,0.0,5.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,50.0,4.0,85.0,5.0,Recording,It changes depending on the subject,Style 2
180,19.0,Female,China,4.0,2.0,719.0,2.0,4.0,0.0,Single,0.0,0.0,4.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,10.0,5.0,80.0,4.0,I,It changes depending on the subject,Style 2
181,18.0,Female,Australia,16.0,3.87,480.0,4.0,3.0,130.0,Single,0.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,40.0,6.0,100.0,3.0,I,It changes depending on the subject,Style 2
182,18.0,Female,South Korea ,8.0,5.0,799.0,0.0,8.0,150.0,Single,0.0,0.0,9.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,1.0,7.0,100.0,4.0,I,I work steadily all semester,Style 1
183,22.0,Male,China,0.0,9.5,450.0,9.0,5.0,140.0,In a relationship,30.0,1.0,7.0,Have you ever used recreational drugs,No,,No,International,DATA1001,4.0,15.0,3.0,100.0,10.0,Recording,It changes depending on the subject,Style 3
184,19.0,Male,China,35.0,11.14,540.0,11.0,6.0,112.0,Single,5.0,14.0,10.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,12.0,10.0,100.0,10.0,Recording,I work steadily all semester,Style 3
185,19.0,Male,viet nam,8.0,3.0,440.0,8.0,2.0,120.0,Single,1.0,4.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1.0,20.0,6.0,70.0,3.0,Recording,I work steadily all semester,Style 2
186,18.0,Female,Australia,25.0,3.25,0.0,4.0,6.0,100.0,Single,0.0,0.0,4.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0.0,60.0,6.0,80.0,5.0,I,It changes depending on the subject,Style 1
187,17.0,Male,Mongolia,0.0,2.9,0.0,10.0,7.0,120.0,In a relationship,1.0,0.0,4.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,60.0,9.0,90.0,3.0,I,I work steadily all semester,Style 3
188,18.0,Male,Philippines,1.0,7.0,230.0,25.0,2.0,100.0,Its complicated,3.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,40.0,2.0,80.0,4.0,Recording,I work steadily all semester,Style 3
189,18.0,Non-binary / third gender,new zealand,0.0,9.75,860.0,3.0,7.0,100.0,Single,0.0,0.0,6.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,10.0,7.0,85.0,1.0,Recording,It changes depending on the subject,Style 1
190,18.0,Male,China,0.0,1.5,400.0,3.0,3.0,110.0,Single,0.0,3.0,9.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,15.0,8.0,90.0,3.0,I,It changes depending on the subject,Style 3
191,21.0,Female,China,30.0,5.0,730.0,5.0,4.0,120.0,Single,0.0,5.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1.0,25.0,6.0,80.0,10.0,I,It changes depending on the subject,Style 3
192,18.0,Female,India,0.0,1.0,0.0,2.0,6.0,120.0,Single,0.0,0.0,8.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0.0,64.0,6.0,90.0,3.0,I,I leave things to the last minute,Style 2
193,19.0,Male,UK,5.0,0.5,0.0,3.0,2.0,140.0,Single,0.0,0.0,10.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0.0,45.0,7.0,90.0,0.0,Lecture Slides,It changes depending on the subject,Style 1
194,17.0,Male,Indonesia,0.0,4.3,430.0,30.0,4.0,180.0,Single,1.0,0.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,60.0,8.0,10.0,2.0,I,It changes depending on the subject,Style 1
195,18.0,Male,India,0.0,5.0,345.0,2.0,6.0,120.0,Single,0.0,0.0,4.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,10.0,7.0,85.0,6.0,I,It changes depending on the subject,Style 2
196,20.0,Female,Australia,19.0,3.0,0.0,2.0,2.0,60.0,Single,2.0,0.0,3.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,5.0,40.0,0.0,85.0,0.0,Recording,It changes depending on the subject,Style 2
197,18.0,Female,Singapore,22.0,6.25,0.0,3.0,5.0,55.0,Its complicated,60.0,0.0,9.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,5.0,90.0,5.0,75.0,5.0,Recording,It changes depending on the subject,Style 2
198,18.0,Male,New Zealand,1.0,4.5,354.0,20.0,3.0,160.0,Single,4.0,1.5,6.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,15.0,3.0,85.0,2.0,Lecture Slides,I work steadily all semester,Style 3
199,19.0,Male,Australia,4.0,2.82,0.0,10.0,3.0,130.0,Single,50.0,0.0,3.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,80.0,4.0,85.0,3.0,Recording,I leave things to the last minute,Style 2
200,18.0,Male,Australia,17.5,5.5,0.0,6.0,1.0,115.0,Single,0.0,0.0,0.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,100.0,7.0,90.0,3.0,Live Stream from Lecture Theatre,It changes depending on the subject,Style 1
201,18.0,Female,Australia,11.0,5.7,0.0,4.0,6.0,0.0,In a relationship,3.0,0.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,40.0,3.0,50.0,5.0,I,I work steadily all semester,Style 3
202,18.0,Female,Australia,0.0,9.0,0.0,0.0,6.0,120.0,Single,0.0,6.0,3.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,75.0,5.0,80.0,2.0,I,It changes depending on the subject,Style 1
203,18.0,Female,Uzbekistan,0.0,4.4,500.0,10.0,3.0,150.0,Single,0.0,0.0,3.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,15.0,9.0,100.0,5.0,I,I leave things to the last minute,Style 2
204,18.0,Female,Australia,44.0,9.36,0.0,5.0,9.0,110.0,Single,0.0,11.0,25.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,90.0,0.0,60.0,3.0,Recording,I leave things to the last minute,Style 2
205,18.0,Female,Australia,4.0,4.0,0.0,15.0,6.0,120.0,Single,0.0,5.0,2.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,15.0,6.0,85.0,2.0,Recording,I work steadily all semester,Style 2
206,18.0,Male,India,0.0,5.0,550.0,12.0,2.0,140.0,Single,0.0,0.0,7.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,15.0,8.0,100.0,2.0,I,It changes depending on the subject,Style 1
207,18.0,Male,Indonesia,0.0,9.5,500.0,6.0,6.0,125.0,Single,5.0,0.0,10.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,40.0,7.0,90.0,8.0,I,It changes depending on the subject,Style 2
208,18.0,Male,Australia,8.0,2.0,0.0,50.0,2.0,110.0,In a relationship,6.0,50.0,14.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1.0,0.0,6.0,75.0,2.0,Recording,I leave things to the last minute,Style 3
209,22.0,Female,Australia,0.0,6.87,250.0,5.0,7.0,120.0,Single,0.0,0.0,15.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1.0,50.0,7.0,80.0,6.0,I,I work steadily all semester,Style 2
210,18.0,Male,Australia,10.0,8.25,0.0,20.0,7.0,120.0,Single,4.0,33.0,9.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,4.0,58.0,8.0,78.0,6.0,Lecture Slides,It changes depending on the subject,Style 2
211,19.0,Female,Australia,0.0,3.0,0.0,50.0,2.0,200.0,In a relationship,100.0,80.0,25.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1.0,65.0,2.0,70.0,2.0,I,It changes depending on the subject,Style 1
212,19.0,Female,Australia,0.0,2.38,0.0,20.0,2.0,120.0,Single,0.0,2.0,15.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,10.0,5.0,85.0,4.0,I,I work steadily all semester,Style 3
213,19.0,Male,Australia,32.0,1.25,0.0,20.0,3.0,110.0,Single,0.0,0.0,20.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,45.0,8.0,80.0,5.0,Recording,It changes depending on the subject,Style 1
214,19.0,Male,Australia,5.0,1.0,0.0,4.0,6.0,50.0,Single,0.0,0.0,8.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,40.0,7.0,90.0,4.0,Recording,I work steadily all semester,Style 1
215,19.0,Male,Australia,5.0,6.0,0.0,10.0,2.0,200.0,Single,0.0,6.0,8.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,140.0,4.0,80.0,3.0,I,It changes depending on the subject,Style 2
216,19.0,Female,Australia,4.0,3.0,0.0,20.0,3.0,120.0,Single,1.0,3.0,5.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1.0,20.0,4.0,75.0,4.0,Recording,It changes depending on the subject,Style 1
217,19.0,Female,Australia,15.5,5.05,0.0,30.0,3.0,90.0,Single,0.0,0.0,10.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1.0,80.0,4.0,90.0,2.0,I,It changes depending on the subject,Style 1
218,18.0,Male,China,0.0,3.0,450.0,10.0,7.0,0.0,In a relationship,30.0,10.0,3.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,20.0,10.0,100.0,2.0,I,It changes depending on the subject,Style 3
219,18.0,Female,China,10.0,7.0,200.0,5.0,5.0,0.0,Single,0.0,0.0,5.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,20.0,4.0,70.0,2.0,I,It changes depending on the subject,Style 2
220,18.0,Male,Japan,0.0,0.0,0.0,5.0,1.0,90.0,Single,0.0,0.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1.0,90.0,7.0,80.0,4.0,Recording,I work steadily all semester,Style 3
221,18.0,Female,Indonesia,0.0,3.0,175.0,20.0,4.0,0.0,Single,0.0,0.0,2.0,Have you ever used recreational drugs,No,,No,International,DATA1001,0.0,50.0,8.0,90.0,8.0,I,I work steadily all semester,Style 3
222,19.0,Female,China,35.0,3.0,799.0,30.0,5.0,11.0,Single,0.0,0.0,5.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,3.0,8.0,80.0,4.0,I,It changes depending on the subject,Style 1
