Progress,consent ,age ,gender ,country_of_birth ,country_of_birth _5_TEXT,hours_work ,social_media_use ,rent ,friends_count ,si_1,highest_speed ,relationship_status ,dates ,standard_drinks ,countries ,drug_use_q,drug_usea,drug_useb ,drug_use_ans,student_type ,mainstream_advanced ,semesters ,commute ,data_interest _1,mark_goal ,hours_studying ,lecture_mode ,study_type ,learner_style 
100,I consent to take part in the study,22,Male,China,,20,3,850,20,7,120,Its complicated,100,8,3,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,International,DATA1001,0,20,8,99,3,Other,I leave things to the last minute,Style 2
100,I consent to take part in the study,21,Female,Australia,,50.5,3.5,0,4,4,120,Its complicated,2,0,5,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,7,45,2,60,3,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Female,China,,60,10,500,2,6,140,Single,0,0,2,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0,60,6,99,30,I,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Female,USA,,0,3,0,7,7,144,Single,2,7,4,Have you ever gotten high off illicit drugs?,,Prefer not to say,Prefer not to say,International,DATA1001,2,5,2,65,3,Recording,I leave things to the last minute,Style 2
100,I consent to take part in the study,20,Male,Australia,,14,0.45,0,0,4,140,In a relationship,80,0,4,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,3,30,4,100,10,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,22,Male,China,,30,1,500,1,8,120,Single,0,2,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,35,4,90,7,Lecture Slides,I leave things to the last minute,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,Viet Nam,0,3.48,300,7,7,100,Single,0,2,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,40,7,85,15,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Female,USA,,0,2.2,0,8,5,157.7,Its complicated,1,3,6,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,4,15,6,60,2,Lecture Slides,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Male,Australia,,16,3.5,0,4,5,130,Single,1,5,2,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,60,1,85,3,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Male,Other Please Specify,South Korea,0,5,480,10,2,120,Single,2,2,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,20,0,85,10,Lecture Slides,I work steadily all semester,Style 2
100,I consent to take part in the study,23,Female,China,,2,6,1500,10,8,60,Single,5,0,2,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,6,20,9,70,10,Recording,I leave things to the last minute,Style 3
100,I consent to take part in the study,19,Female,Other Please Specify,Mongolia,0,6.36,0,4,10,140,Single,1,0,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,2,20,7,80,5,I,I work steadily all semester,Style 2
100,I consent to take part in the study,20,Male,China,,0,7,600,10,8,120,In a relationship,0,0,2,Have you ever used recreational drugs,No,,No,International,DATA1001,1.5,20,9,90,10,I,I work steadily all semester,Style 1
100,I consent to take part in the study,20,Female,China,,10,6,0,15,6,60,Single,7,3,20,Have you ever used recreational drugs,No,,No,International,DATA1001,1,15,2,50,3,Recording,I work steadily all semester,Style 1
100,I consent to take part in the study,23,Female,Australia,,0,4,0,3,1,120,In a relationship,20,0,7,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,3,86,6,85,6,Recording,I leave things to the last minute,Style 1
100,I consent to take part in the study,18,Male,Australia,,0,6.4,0,4,2,110,Single,1,0,20,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0,50,5,100,0,I,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Female,China,,0,6.3,600,1,7,120,In a relationship,50,18,12,Have you ever used recreational drugs,No,,No,International,DATA1001,0,20,7,98,3,I,I work steadily all semester,Style 3
100,I consent to take part in the study,20,Male,China,,0,1.21,629,0,8,160,Single,0,0,5,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,15,8,85,3,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Male,Australia,,0,2.33,0,50,8,150,Single,0,0,10,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,90,6,95,3,Recording,I leave things to the last minute,Style 1
100,I consent to take part in the study,19,Non-binary / third gender,Australia,,0,0.05,348,3,5,135,In a relationship,7,0,3,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,15,6,75,12,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Female,Other Please Specify,Indonesia,0,8.1,725,2,7,100,Single,0,0,6,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,40,7,75,5,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,20,Female,Other Please Specify,Bangladesh ,0,5.65,285,4,7,140,In a relationship,12,0,6,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,20,7,80,14,Recording,I leave things to the last minute,Style 2
100,I consent to take part in the study,18,Male,Other Please Specify,South Korea,0,3.35,475,20,1,0,Single,10,15,30,Have you ever used recreational drugs,No,,No,International,DATA1001,1,20,4,75,4,Lecture Slides,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Female,Australia,,3,6,0,10,6,120,In a relationship,40,0,4,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,4,90,5,75,3,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,24,Male,Other Please Specify,Mongolia,20,1,210,5,8,150,Single,0,0,8,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,7,40,6,100,4,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,19,Male,Australia,,16,6,0,5,6,140,Single,2,0,12,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,0,90,3,80,10,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,19,Female,Australia,,26,2.5,0,10,6,110,Single,0,0,7,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,90,1,85,5,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Female,India,,35,2,0,5,7,130,Single,0,0,5,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,60,8,90,2,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
100,I consent to take part in the study,30,Male,Australia,,38,3,0,0,2,120,Married,0,0,37,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,7,80,10,70,15,Recording,I work steadily all semester,Style 2
100,I consent to take part in the study,19,Female,Australia,,15,4.6,130,15,2,140,Single,0,1,3,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,3,150,1,75,1,Lecture Slides,I leave things to the last minute,Style 3
100,I consent to take part in the study,18,Male,India,,0,1.5,0,11,1,125,Single,1,1,1,Have you ever used recreational drugs,No,,No,International,DATA1001,0,45,7,95,0,Lecture Slides,It changes depending on the subject,Style 1
100,I consent to take part in the study,20,Male,USA,,0,4.5,550,7,3,177,In a relationship,2,30,4,Have you ever used recreational drugs,No,,No,International,DATA1001,4,28,7,95,3,Recording,I leave things to the last minute,Style 3
100,I consent to take part in the study,21,Female,Other Please Specify,South Korea,0,4.8,773.5,2,7,80,Single,0,0,9,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,3,10,5,100,3,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,19,Female,China,,0,6,400,20,5,120,Single,2,3,2,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,6,5,90,3,I,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Female,Australia,,13,4.25,0,12,1,150,Single,0,0,9,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,75,3,85,1,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Female,Other Please Specify,Japan,7,4,450,8,10,100,Single,1,0,5,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,10,5,75,2,I,I leave things to the last minute,Style 3
100,I consent to take part in the study,18,Female,Other Please Specify,Indonesia,0,4.2,709,11,7,160,Single,0,0,10,Have you ever used recreational drugs,No,,No,International,DATA1001,0,10,3,80,4,Lecture Slides,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Female,Other Please Specify,Poland,0,4,490,5,7,220,Single,0,0,30,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,2,20,7,75,8,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Taiwan,0,3,370,10,6,120,Single,1,0,6,Have you ever used recreational drugs,No,,No,International,DATA1001,0,10,8,100,5,I,I work steadily all semester,Style 1
100,I DO NOT consent to take part in the study,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,I consent to take part in the study,18,Male,China,,0,2,900,0,1,140,Single,0,0,14,Have you ever used recreational drugs,No,,No,International,DATA1001,0,15,7,100,2,Live Stream from Lecture Theatre,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Male,India,,0,4,469,5,5,50,Single,0,0,2,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,20,7,85,10,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Female,Australia,,30,3,0,3,7,130,Single,0,1,20,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,0,40,6,80,4,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,19,Male,Australia,,5,4.5,0,50,2,140,Single,2,26,5,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1,8,7,74,4,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Male,China,,0,6,480,0,7,150,Single,0,0,3,Have you ever used recreational drugs,No,,No,International,DATA1001,0,40,4,80,5,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Australia,,11.5,2,0,15,7,130,Single,4,0,6,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,50,8,85,2,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Male,Australia,,12,4,0,20,5,120,In a relationship,1,17,3,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1,60,6,75,4,I,I leave things to the last minute,Style 1
100,I consent to take part in the study,21,Male,Other Please Specify,Sri Lanka,9,7,387,1,9,180,Single,7,4,4,Have you ever used recreational drugs,No,,No,International,DATA1001,4,9,1,80,15,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,Malaysia,0,3.9,300,4,5,150,Single,0,0,7,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,0,60,4,80,1,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Male,Other Please Specify,Hong Kong SAR,0,3.5,463,10,4,110,Its complicated,1,0,21,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,2,25,6,75,3,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Male,Australia,,9,2.25,0,100,2,130,Its complicated,3,20,6,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,20,7,85,5,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,21,Female,Other Please Specify,Thailand ,0,4,800,2,7,90,Single,0,0,3,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,5,15,8,90,7,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Male,China,,25,5.44,829,11,4,135,Single,0,5,6,Have you ever used recreational drugs,No,,No,International,DATA1001,1,20,7,80,4,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Female,Australia,,24,2,0,15,0,120,Single,0,4,13,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,50,2,65,5,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Australia,,12,3.3,0,5,6,120,In a relationship,5,4,5,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,50,6,75,6,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Non-binary / third gender,Australia,,0,5.75,0,7,7,110,Single,0,0,4,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,90,5,90,3,Live Stream from Lecture Theatre,I leave things to the last minute,Style 2
100,I consent to take part in the study,20,Female,Australia,,8.5,2,0,8,10,110,Single,2,0,5,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,5,60,3,85,5,Live Stream from Lecture Theatre,I work steadily all semester,Style 2
100,I consent to take part in the study,19,Male,Other Please Specify,UAE,0,9.3,1040,13,2,200,Single,0,0,5,Have you ever used recreational drugs,No,,No,International,DATA1001,1,60,6,3,7,Recording,I leave things to the last minute,Style 2
100,I consent to take part in the study,18,Female,Australia,,10,8.09,0,8,10,110,Single,0,0,5,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,50,4,85,5,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Female,China,,4,2,719,2,4,0,Single,0,0,4,Have you ever used recreational drugs,No,,No,International,DATA1001,0,10,5,80,4,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Australia,,16,3.87,480,4,3,130,Single,0,0,4,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,40,6,100,3,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Other Please Specify,South Korea ,8,5,799,0,8,150,Single,0,0,9,Have you ever used recreational drugs,No,,No,International,DATA1001,0,1,7,100,4,I,I work steadily all semester,Style 1
100,I consent to take part in the study,22,Male,China,,0,9.5,450,9,5,140,In a relationship,30,1,7,Have you ever used recreational drugs,No,,No,International,DATA1001,4,15,3,100,10,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,19,Male,China,,35,11.14,540,11,6,112,Single,5,14,10,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,12,10,100,10,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Male,Other Please Specify,viet nam,8,3,440,8,2,120,Single,1,4,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,20,6,70,3,Recording,I work steadily all semester,Style 2
100,I consent to take part in the study,18,Female,Australia,,25,3.25,0,4,6,100,Single,0,0,4,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0,60,6,80,5,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,17,Male,Other Please Specify,Mongolia,0,2.9,0,10,7,120,In a relationship,1,0,4,Have you ever used recreational drugs,No,,No,International,DATA1001,0,60,9,90,3,I,I work steadily all semester,Style 3
100,I DO NOT consent to take part in the study,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,I consent to take part in the study,18,Male,Other Please Specify,Philippines,1,7,230,25,2,100,Its complicated,3,0,4,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,40,2,80,4,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Non-binary / third gender,Other Please Specify,new zealand,0,9.75,860,3,7,100,Single,0,0,6,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,10,7,85,1,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,China,,0,1.5,400,3,3,110,Single,0,3,9,Have you ever used recreational drugs,No,,No,International,DATA1001,1,15,8,90,3,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,21,Female,China,,30,5,730,5,4,120,Single,0,5,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,25,6,80,10,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Female,India,,0,1,0,2,6,120,Single,0,0,8,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0,64,6,90,3,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,19,Male,Other Please Specify,UK,5,0.5,0,3,2,140,Single,0,0,10,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0,45,7,90,0,Lecture Slides,It changes depending on the subject,Style 1
100,I consent to take part in the study,17,Male,Other Please Specify,Indonesia,0,4.3,430,30,4,180,Single,1,0,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,60,8,10,2,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,India,,0,5,345,2,6,120,Single,0,0,4,Have you ever used recreational drugs,No,,No,International,DATA1001,0,10,7,85,6,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,20,Female,Australia,,19,3,0,2,2,60,Single,2,0,3,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,5,40,0,85,0,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Female,Other Please Specify,Singapore,22,6.25,0,3,5,55,Its complicated,60,0,9,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,5,90,5,75,5,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Male,Other Please Specify,New Zealand,1,4.5,354,20,3,160,Single,4,1.5,6,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,15,3,85,2,Lecture Slides,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Male,Australia,,4,2.82,0,10,3,130,Single,50,0,3,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,80,4,85,3,Recording,I leave things to the last minute,Style 2
100,I consent to take part in the study,18,Male,Australia,,17.5,5.5,0,6,1,115,Single,0,0,0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,100,7,90,3,Live Stream from Lecture Theatre,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Female,Australia,,11,5.7,0,4,6,0,In a relationship,3,0,3,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,40,3,50,5,I,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Female,Australia,,0,9,0,0,6,120,Single,0,6,3,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,75,5,80,2,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Female,Other Please Specify,Uzbekistan,0,4.4,500,10,3,150,Single,0,0,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,15,9,100,5,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,18,Female,Australia,,44,9.36,0,5,9,110,Single,0,11,25,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,90,0,60,3,Recording,I leave things to the last minute,Style 2
100,I consent to take part in the study,18,Female,Australia,,4,4,0,15,6,120,Single,0,5,2,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,15,6,85,2,Recording,I work steadily all semester,Style 2
100,I consent to take part in the study,18,Male,India,,0,5,550,12,2,140,Single,0,0,7,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,15,8,100,2,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Indonesia,0,9.5,500,6,6,125,Single,5,0,10,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,40,7,90,8,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Male,Australia,,8,2,0,50,2,110,In a relationship,6,50,14,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,0,6,75,2,Recording,I leave things to the last minute,Style 3
100,I consent to take part in the study,22,Female,Australia,,0,6.87,250,5,7,120,Single,0,0,15,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1,50,7,80,6,I,I work steadily all semester,Style 2
100,I consent to take part in the study,18,Male,Australia,,10,8.25,0,20,7,120,Single,4,33,9,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,4,58,8,78,6,Lecture Slides,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Female,Australia,,0,3,0,50,2,200,In a relationship,100,80,25,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,65,2,70,2,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Female,Australia,,0,2.38,0,20,2,120,Single,0,2,15,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,10,5,85,4,I,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Male,Australia,,32,1.25,0,20,3,110,Single,0,0,20,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,45,8,80,5,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Male,Australia,,5,1,0,4,6,50,Single,0,0,8,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,40,7,90,4,Recording,I work steadily all semester,Style 1
100,I consent to take part in the study,19,Male,Australia,,5,6,0,10,2,200,Single,0,6,8,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,140,4,80,3,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Female,Australia,,4,3,0,20,3,120,Single,1,3,5,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,1,20,4,75,4,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,19,Female,Australia,,15.5,5.05,0,30,3,90,Single,0,0,10,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,1,80,4,90,2,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,China,,0,3,450,10,7,0,In a relationship,30,10,3,Have you ever used recreational drugs,No,,No,International,DATA1001,0,20,10,100,2,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Female,China,,10,7,200,5,5,0,Single,0,0,5,Have you ever used recreational drugs,No,,No,International,DATA1001,0,20,4,70,2,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,18,Male,Other Please Specify,Japan,0,0,0,5,1,90,Single,0,0,4,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,90,7,80,4,Recording,I work steadily all semester,Style 3
100,I consent to take part in the study,18,Female,Other Please Specify,Indonesia,0,3,175,20,4,0,Single,0,0,2,Have you ever used recreational drugs,No,,No,International,DATA1001,0,50,8,90,8,I,I work steadily all semester,Style 3
100,I consent to take part in the study,19,Female,China,,35,3,799,30,5,11,Single,0,0,5,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,3,8,80,4,I,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Mongolia,0,7,200,2,2,100,Single,0,0,3,Have you ever used recreational drugs,No,,No,International,DATA1001,0,40,9,90,6,I,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Male,China,,0,7,550,5,4,130,In a relationship,100,2,5,Have you ever used recreational drugs,No,,No,International,DATA1001,0,50,8,100,5,I,I work steadily all semester,Style 3
100,I consent to take part in the study,21,Male,China,,0,6.25,410,2,5,130,Single,1,3,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,40,5,70,5,Live Stream from Lecture Theatre,It changes depending on the subject,Style 2
100,I consent to take part in the study,19,Male,Australia,,0,2.5,0,5,4,130,Single,0,0,3,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,2,45,5,70,5,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,22,Male,Australia,,32,1.5,0,0,5,250,In a relationship,0,0,9,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,7,18,4,80,2,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,20,Male,Australia,,24,2,0,20,4,150,In a relationship,0,0,21,Have you ever used recreational drugs,Prefer not to say,,Prefer not to say,Domestic,DATA1001,3,25,1,85,4,Recording,I work steadily all semester,Style 1
100,I consent to take part in the study,18,Female,Australia,,5.5,10,0,20,5,120,Single,0,0,15,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,60,2,80,2,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,20,Male,Other Please Specify,Indonesia,0,5,300,20,5,70,Single,0,1,5,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,4,60,7,75,8,Recording,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,China,,0,6,800,10,0,100,Single,7,7,5,Have you ever used recreational drugs,No,,No,International,DATA1001,1,60,9,90,8,I,I work steadily all semester,Style 1
100,I consent to take part in the study,20,Male,China,,0,8,1000,10,7,200,Its complicated,3,10,8,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,15,8,100,5,Recording,It changes depending on the subject,Style 1
100,I DO NOT consent to take part in the study,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,I consent to take part in the study,18,Male,India,,0,4.5,345,5,2,120,In a relationship,10,5,12,Have you ever used recreational drugs,No,,No,International,DATA1001,0,30,1,90,5,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,20,Female,Other Please Specify,Kuwait,0,3.917,3000,6,7,100,In a relationship,3,0,5,Have you ever used recreational drugs,No,,No,International,DATA1001,1,40,3,85,3,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Male,India,,0,1,650,3,7,140,Single,0,0,5,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,25,10,90,15,I,It changes depending on the subject,Style 3
100,I consent to take part in the study,19,Male,Other Please Specify,Taiwan,40,0.2,150,2,6,150,Single,0,3,5,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,40,5,70,7,I,I leave things to the last minute,Style 2
100,I consent to take part in the study,22,Female,Australia,,8,3,0,10,7,120,Single,100,0,3,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,3,60,5,80,6,Recording,It changes depending on the subject,Style 2
100,I consent to take part in the study,23,Female,Other Please Specify,Taiwan,0,6,350,20,2,130,Single,0,2,4,Have you ever used recreational drugs,No,,No,International,DATA1001,0,47,3,80,2,Live Stream from Lecture Theatre,I leave things to the last minute,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Vietnam,0,6,629,10,4,120,In a relationship,20,0,16,Have you ever used recreational drugs,No,,No,International,DATA1001,1,15,2,85,5,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,Bangladesh,0,2,595,3,8,180,Single,0,0,13,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,20,7,90,6,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,18,Male,Other Please Specify,,40,3,950,10,8,120,In a relationship,12,0,12,Have you ever used recreational drugs,No,,No,International,DATA1001,1,20,7,70,5,Live Stream from Lecture Theatre,It changes depending on the subject,Style 1
100,I consent to take part in the study,18,Male,Other Please Specify,Republic of Korea,7,2,0,20,5,90,Single,2,10,5,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,1,1.25,4,65,3,Recording,I work steadily all semester,Style 2
100,I consent to take part in the study,18,Female,Other Please Specify,Japan,0,4,360,60,8,95,In a relationship,20,4,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,7,6,96,9,Recording,I work steadily all semester,Style 1
100,I consent to take part in the study,20,Male,Australia,,8,5,820,5,3,218,In a relationship,20,2,22,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1001,1,90,7,80,3,Live Stream from Lecture Theatre,I work steadily all semester,Style 2
100,I consent to take part in the study,20,Female,Other Please Specify,Malaysia,20,5.33,170,30,3,120,Single,0,0,3,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,15,7,85,4,I,I work steadily all semester,Style 1
100,I consent to take part in the study,20,Female,Other Please Specify,Japan,0,3.1,0,2,6,133,In a relationship,25,0,9,Have you ever used recreational drugs,No,,No,International,DATA1001,5,15,5,90,5,Other,I leave things to the last minute,Style 3
100,I consent to take part in the study,19,Female,China,,0,3,770,2,6,150,Single,0,0,4,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,1,30,3,60,4,Recording,It changes depending on the subject,Style 3
100,I consent to take part in the study,19,Male,India,,0,1,879,5,3,110,In a relationship,10,0,8,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0,5,10,100,10,I,I work steadily all semester,Style 1
